player_id,player_name,team,league,xp_per_90,prod_ratio_R_D,xpass_residual_p90,xpass_coe_pct,xpass_total_coe_pct,passes_total,xpv_per_pass,test_impact_v2_p90,threat_pass_pct,xp_pass_rating_old,xp_pass_rating_display_old,z_prod_pure,z_prod_ratio,z_productivity,z_prec_residual,z_prec_coe_stratum,z_precision,z_xpv_per_pass,z_test_impact_v2_p90,z_threat_pass_pct,z_lethality,composite_z,pass_grade_v2,pass_grade_v2_stored,rank_v2,rank_old,rank_delta
796047,Aleix García,Bayer 04 Leverkusen,,29.761928451324092,1.0,5.128,4.62,5.54,92.515,0.3519,2.4545454545454546,,0.8319,8.32,3.518834793161522,0.0,2.4631843552130652,3.405696628929148,1.3543061202485625,2.7902794763249723,-0.5232751362847178,2.7578235904966695,0.0,0.7448494847373173,1.9994377720917849,9.01,0.901,1.0,1.0,0.0
822600,Exequiel Palacios,Bayer 04 Leverkusen,,22.96086189885775,1.0,3.387,5.13,4.95,68.471,0.37,1.8823529411764706,,0.8185,8.19,1.804484406719937,0.0,1.2631390847039559,1.8628712748020184,1.3321566817354709,1.703656896882054,0.21398069921762183,1.133728867291318,0.0,0.4492365221696466,1.1386775012518855,8.54,0.854,2.0,2.0,0.0
352802,Maxime López,Paris FC,,19.980271426610532,1.0,2.93,4.15,4.37,67.0,0.3411,2.307692307692308,,0.8136,8.14,1.053164538210767,0.0,0.7372151767475369,1.4578906964929441,0.5681524819703976,1.1909692321361802,-0.9631846955899801,2.34099985492204,0.0,0.45927171977735326,0.7958187095536902,8.19,0.819,3.0,4.0,1.0
1493305,Leon Avdullahu,TSG Hoffenheim,,19.948691512864407,1.0,2.855,4.8,4.65,61.455,0.3625,1.6060606060606062,,0.8081,8.08,1.045204163625868,0.0,0.7316429145381076,1.391427800709179,1.0256157290469594,1.281684179210513,-0.09151205029992238,0.3495086738432517,0.0,0.0859988745144431,0.6997753227543546,8.07,0.807,4.0,6.0,2.0
901882,Angelo Stiller,VfB Stuttgart,,22.16248216704217,1.0,2.248,2.88,3.32,67.676,0.3787,1.7941176470588236,,0.8158,8.16,1.6032361773126214,0.0,1.122265324118835,0.853521430832575,-0.5623613529030516,0.42875659571188696,0.5683522886579723,0.883284353899839,0.0,0.4838788808526037,0.6783002668944418,8.04,0.804,5.0,3.0,-2.0
149593,Pierre-Emile Højbjerg,Olympique de Marseille,,22.67945555590161,1.0,2.469,3.94,3.58,68.969,0.3677,1.5,,0.8101,8.1,1.7335500806003048,0.0,1.2134850564202133,1.0493654304087354,0.09111849327224925,0.7618913492677896,0.12029625603224298,0.04846930926157403,0.0,0.056255188431272335,0.6772105313730918,8.04,0.804,5.0,5.0,0.0
1120669,Hugo Sotelo,Celta Vigo,,17.49113354084228,1.0,2.425,5.0,4.95,49.0,0.3904,1.0,,0.7886,7.89,0.4257255235424411,0.0,0.2980078664797087,1.01037386488226,1.848354711524012,1.2617681188747856,1.0449209779053426,-1.370716266623476,0.0,-0.10859842957271115,0.4837258519272611,7.79,0.779,7.0,10.0,3.0
581314,Valentin Rongier,Stade Rennais,,19.587689716757602,1.0,2.266,3.49,3.43,66.097,0.3351,2.064516129032258,,0.7994,7.99,0.9542061467872626,0.0,0.6679443027510837,0.8694725258206785,-0.20495061465585435,0.5471455836777186,-1.2075788952040154,1.6507756046156625,0.0,0.14773223647054903,0.45427404096645047,7.75,0.775,8.0,7.0,-1.0
866469,Bruno Guimarães,Newcastle United,,16.820440390451804,1.0,1.229,2.52,2.45,50.138,0.3998,2.0,,0.7911,7.91,0.2566633547361863,0.0,0.1796643483153304,-0.04948777988284455,0.1241048471514552,0.00259000822744538,1.4278052239673296,1.467654885146624,0.0,0.9651533697046512,0.3824692420824756,7.65,0.765,9.0,9.0,0.0
190883,Branco Van den Boomen,Angers,,17.458501295507123,1.0,1.648,1.98,3.04,54.133,0.3715,1.6666666666666667,,0.776,7.76,0.41749988687660117,0.0,0.2922499208136208,0.3218182645624554,0.569777332095255,0.3962059848222953,0.2750792491211307,0.5215311678899243,0.0,0.26553680567035165,0.3179975704354226,7.55,0.755,10.0,15.0,5.0
